,precision,recall,f1-score,support
Claims ignorance,0.5520833333333334,0.5023696682464455,0.5260545905707196,211.0
Clarification,0.19117647058823528,0.33766233766233766,0.24413145539906103,77.0
Declining to answer,0.0,0.0,0.0,16.0
Deflection,0.35454545454545455,0.2765957446808511,0.3107569721115538,141.0
Dodging,0.2073170731707317,0.17346938775510204,0.18888888888888888,98.0
Explicit,0.2823529411764706,0.3157894736842105,0.2981366459627329,76.0
General,0.42105263157894735,0.5517241379310345,0.47761194029850745,29.0
Implicit,0.44,0.4583333333333333,0.4489795918367347,24.0
Partial/half-answer,0.5454545454545454,0.6666666666666666,0.6,18.0
accuracy,0.36376811594202896,0.36376811594202896,0.36376811594202896,0.36376811594202896
macro avg,0.3326647166497465,0.3647345277733312,0.3438400094520221,690.0
weighted avg,0.37038505144007433,0.36376811594202896,0.362620473073762,690.0
macro_f1,,,0.3438400094520221,
