,precision,recall,f1-score,support
Explicit,0.4051724137931034,0.746031746031746,0.5251396648044693,126.0
Dodging,0.18181818181818182,0.044444444444444446,0.07142857142857142,45.0
Implicit,0.0,0.0,0.0,10.0
Claims ignorance,0.4186046511627907,0.4,0.4090909090909091,90.0
General,0.23076923076923078,0.1836734693877551,0.20454545454545456,49.0
Deflection,0.38095238095238093,0.1568627450980392,0.2222222222222222,51.0
Declining to answer,0.5555555555555556,0.22727272727272727,0.3225806451612903,22.0
Clarification,0.625,0.45454545454545453,0.5263157894736842,11.0
Partial/half-answer,0.625,0.5,0.5555555555555556,10.0
accuracy,0.3961352657004831,0.3961352657004831,0.3961352657004831,0.3961352657004831
macro avg,0.3803191571168048,0.30142562075335183,0.31520875692023964,414.0
weighted avg,0.36954455768813127,0.3961352657004831,0.35265200322996554,414.0
macro_f1,,,0.31520875692023964,
