,precision,recall,f1-score,support
Claims ignorance,0.3103448275862069,0.375,0.33962264150943394,24.0
Clarification,0.7777777777777778,0.3888888888888889,0.5185185185185185,18.0
Declining to answer,0.5,0.13793103448275862,0.21621621621621623,29.0
Deflection,0.10344827586206896,0.039473684210526314,0.05714285714285714,76.0
Dodging,0.2692307692307692,0.3475177304964539,0.30340557275541796,141.0
Explicit,0.3676092544987147,0.6777251184834123,0.4766666666666667,211.0
General,0.0,0.0,0.0,77.0
Implicit,0.13636363636363635,0.061224489795918366,0.08450704225352113,98.0
Partial/half-answer,0.0,0.0,0.0,16.0
accuracy,0.32028985507246377,0.32028985507246377,0.32028985507246377,0.32028985507246377
macro avg,0.27386383792435265,0.22530677181755093,0.22178661278473685,690.0
weighted avg,0.2502914092057824,0.32028985507246377,0.2604868792879896,690.0
